uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
Sprite,İçecek,Gazlı İçecek,,,,,,Sprite 1 L,,https://img.istegelsin.com/cb4575c340cc4d3e8d66d0449eea135e.jpg,
Uludağ,İçecek,Gazlı İçecek,,,,,,Uludağ Efsane Gazoz Pet 1 L,,https://img.istegelsin.com/87ea7d7ccf1b40ef87a191e2f3856708.jpg,
Uludağ,İçecek,Gazlı İçecek,,,,,,Uludağ Efsane Gazoz Şekersiz Pet 1 L,,https://img.istegelsin.com/e535633b13e74e5a98fbee7ef82b46ce.jpg,
Sarıyer,İçecek,Gazlı İçecek,,,,,,Sarıyer Gazoz Karışık Meyveli 1.5 L,,https://img.istegelsin.com/c055d880193143d8954b0bc390c7a966.jpg,
Cappy,İçecek,Meyve Suları,,,,,,Cappy Karışık 330 ml,,https://img.istegelsin.com/5456931f52e34118b560a801f90eb83b.jpg,
Davidoff,İçecek,"Filtre, Çekirdek, Kapsül Kahve",,,,,,Davidoff Prestige Espresso Intense Kapsül Kahve 55 gr,,https://img.istegelsin.com/37061af6f2b74bed9fea21a8d7996205.jpg,
Sprite,İçecek,Gazlı İçecek,,,,,,Sprite 4x1 L,,https://img.istegelsin.com/0f6483a86fa647d18ccebe20fa4fdd47.jpg,
Sprite,İçecek,Gazlı İçecek,,,,,,Sprite 6x250 ml,,https://img.istegelsin.com/bf445d5033084b619198f04999c25c78.jpg,
Sırmakeş,İçecek,Su,,,,,,Sırmakeş Su 12x500 ml,,https://img.istegelsin.com/00d20f91c0b14bd0b4b9b0838c0a7da7.jpg,
Erikli,İçecek,Su,,,,,,Erikli 12x330 ml,,https://img.istegelsin.com/702c706ed2484099aa0ff865c47aaefb.jpg,
Sırmakeş,İçecek,Su,,,,,,Sırmakeş Su 12x330 ml,,https://img.istegelsin.com/dc899b8d7bad4d8397f5608dad438b40.jpg,
Nish Kahve,İçecek,Kahveler İçin Diğer,,,,,,Nish Vanilya Aromalı Şurup 700 ml,,https://img.istegelsin.com/30c464a88d8b4bd88fa735d308c0b345.jpg,
