uMarka,urunKategorileri,urunKategorileriTwo,urunKategorileriThree,urunKategorileriFour,urunKategorileriFive,urunKategorileriSix,urunKategorileriSeven,urunAdi,urunAciklama,urunFoto,urunURL
İçim,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,İçim Fan Çikolatalı Süt 6x200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/icim-fan-cikolatali-sut-6x200-ml-14401
Danone,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Danone Activia Smoothie Avokado&Kivi 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danone-activia-smoothie-avokadokivi-200-ml-15198
Danone,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Danone Activia Smoothie Papaya&Şeftali 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danone-activia-smoothie-papayaseftali-200-ml-15197
Danone,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Danone Activia Smoothie Çilek&Nar 200 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danone-activia-smoothie-cileknar-200-ml-15194
İçim,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,İçim Pet Şişe Çilekli Süt 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/icim-pet-sise-cilekli-sut-1-lt-18968
Danone,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Alpro Badem Sütü Şekersiz 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/alpro-badem-sutu-sekersiz-1-lt-19037
Danone,SutveKahvalti,Uzun Ömürlü Aromalı Süt,,,,,,Alpro Hindistan Cevizi Sütü Şekersiz 1 lt,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/alpro-hindistan-cevizi-sutu-sekersiz-1-lt-19038
Pınar,SutveKahvalti,Uzun Ömürlü Özellikli Süt,,,,,,Pınar Süt Multi Vanilyalı 500 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pinar-sut-multi-vanilyali-500-ml-19172
Pınar,SutveKahvalti,Uzun Ömürlü Özellikli Süt,,,,,,Pınar Süt Multi Kakaolu 500 ml,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/pinar-sut-multi-kakaolu-500-ml-19174
Eker,SutveKahvalti,Meyveli Yoğurt,,,,,,Eker Meyveli Yoğurt Seftali-Kayısı 65 gr,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/eker-meyveli-yogurt-seftali-kayisi-80-gr
Eker,SutveKahvalti,Meyveli Yoğurt,,,,,,Eker Meyveli Yoğurt Çilek 65 gr,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/eker-meyveli-yogurt-cilek-80-gr
Danone,SutveKahvalti,Meyveli Yoğurt,,,,,,Danone Disney Hüpper Çilekli Yoğurt 67 gr,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danone-disney-hupper-cilekli-yogurt-67-gr
Danone,SutveKahvalti,Meyveli Yoğurt,,,,,,Danone Çıtırdat Çilek Aromalı 90 gr,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danone-citirdat-cilek-aromali-100-gr
Sütaş,SutveKahvalti,Meyveli Yoğurt,,,,,,Sütaş Meyveli Yoğurt Orman Meyveli 500 gr,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sutas-meyveli-yogurt-orman-meyveli-500-gr
Sütaş,SutveKahvalti,Meyveli Yoğurt,,,,,,Sütaş Meyveli Yoğurt Çilekli 500 gr,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/sutas-meyveli-yogurt-cilekli-500-gr
Petit,SutveKahvalti,Meyveli Yoğurt,,,,,,Danino Bisküvili Yoğurt 6x40 gr,,https://www.cagri.com/Uploads/Images/load.gif,https://www.cagri.com/danino-biskuvili-yogurt-6x40-gr
